Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.3973406,56.03887613,34.68628603,35.23008146,31.19818361,27.63518833,25.48658781,25.51515237,21.24532047,18.70922554,30.88539871,35.06660314,40.80536968,39.5501065,42.20738027,42.49906586,45.85871447,45.53111324,44.08149677,37.94681232,34.27105375,32.52585573,36.53284081,35.43259512
Botswana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.37603052,43.42305952,40.24243899,40.19396056,43.1804919,40.12731559,20.71514579,13.36410606,12.57089777,15.62225639,18.45161961,18.54585682,21.82319391,30.75902291,26.66311258,22.71448692,17.16154899,15.87759353,14.40197758,15.93494897,15.27419095,16.58452749,16.20595202,14.71233133,12.59915442,10.67149825,11.98294718,9.678947458,8.365158704,7.606477845,8.54526752,7.289011274,11.32819602,7.738692588,6.322660262,6.122672874,7.772041173,19.25222386,21.88629705,21.07436228,20.6232843,19.01643969,18.32723871,19.08469661,16.41093759,14.68503821,14.98069412,16.27615674,19.70632972,20.15749639
Brazil,8.967857064,6.868600449,5.541382451,13.94894357,14.68207655,17.03588697,34.54770743,22.06478762,30.60953489,23.99126793,22.26628281,25.64655756,23.64938512,20.39806557,22.17134688,21.89620505,17.35428349,16.34295943,17.35187702,18.43053025,18.24403187,20.10059467,26.47810767,21.06414706,21.18550682,23.98308526,26.08298309,28.73614777,32.42691266,30.7568019,48.14546298,53.71615129,52.23615247,47.90849842,91.0194049,58.86223614,56.2791799,107.6556805,75.64964031,33.8022094,50.00266503,60.30710009,98.41433359,77.02647138,39.49985032,33.39059779,40.22873505,42.48292065,54.42438695,64.58326568,62.64567609,66.26555925,74.97654627,70.57357915,67.07300458,66.26230887,63.95241617,62.45168475,60.65601612,63.80769649,61.31878046,59.3416583,59.84947757,57.22840938,58.45728122,67.53756529,73.41880381,78.60890145,80.35935931,82.68308148,92.67074128,87.7482325
Brunei Darussalam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.631981804,1.768890963,0.887203525,0.367085323,0.28713825,0.594203986,0.684502278,0.942399529,1.109942018,1.112906505,2.128517848,2.100637333,2.208599297,3.23122759,2.953086861,3.004878804,2.825466295,2.585699022,2.575239948,2.856722367,2.514075503
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.9,6.7,10.3,14.9,22,27,29.4,39.6,48,57.1,115.2,145.9594625,233.2669838,138.808703,84.0493733,113.8421693,88.3749579,65.13615904,70.33642763,70.72244312,65.00960867,52.48574657,45.19212493,37.12752591,28.47001568,26.05155278,23.13264031,17.68071166,19.44399748,19.86648751,18.97539759,20.4143439,20.89594039,31.22795426,29.64579879,33.63602343,29.58773781,26.59900652,24.58407099,30.12754527,32.85150067
Burkina Faso,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.233195791,2.456494931,2.507158522,3.368283481,4.796656006,6.527189702,9.679346888,11.0768267,13.21138416,14.19644909,14.48911433,17.06811025,19.58136374,23.95363271,27.21708341,28.49433534,27.58093443,30.68505084,28.82973418,25.54124778,25.60121294,28.73283405,29.58987358,33.59202815,55.1190917,48.93332404,45.84527182,48.37104743,47.68295873,46.44295928,47.47999265,46.62702962,43.28694195,39.67368691,40.74045299,39.2143463,20.08843996,22.81450195,23.03098488,25.8712008,27.76386539,22.46593683,23.22197203,23.78460033,24.87788188,31.11233109,33.42941763,33.33523077,37.80563404,42.53895538,46.36979951,52.36908562
Burundi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.676642974,6.343892825,7.253912758,8.975303611,10.38694967,9.510365977,8.46880343,6.927119879,7.550009716,7.828947366,7.278933175,8.863859742,10.28989555,12.40771144,17.34172181,22.18878106,19.21177512,22.68537904,27.18644742,37.01110316,44.28545796,47.68627923,54.81062398,74.86757116,81.84197721,83.45274748,84.04081681,84.35058567,93.45849946,111.9716977,119.6252822,117.1209671,139.3972984,122.8004592,138.8675384,140.6454692,136.4251126,127.3866682,159.088312,171.969259,172.738336,136.9801189,130.2548505,129.6132456,102.5152332,25.69016304,46.91165325,42.70570963,41.43049172,37.85760221,37.97066878,39.92597503,46.11901524,46.9022457,52.97086853,59.98776646,65.96521555,66.56467374
Cabo Verde,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,32.97327792,44.17531477,53.13985916,58.34365158,68.65822293,54.976713,45.295789,45.245823,42.394425,38.664399,45.496497,61.269998,57.008,73.386341,74.265484,85.739682,89.51396934,82.22778428,69.96777826,82.63675912,79.913842,82.54842152,81.35889471,83.74457253,85.33857861,77.72691955,64.98095763,63.01368818,64.1418313,72.54552137,78.49722051,91.09243091,102.4898774,115.9235176,126.6485589,128.3647824,127.216869,114.5900585,113.9795784,145.1264501,142.2981157
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.67435204,13.81056072,12.56510405,12.74208135,12.50273738,14.63738468,18.28437335,25.95797396,27.86150664,28.63973045,26.91927708,24.23704821,24.11158897,24.1273868,21.69311057,23.73456555,24.41898165,24.93247303,26.20600144,34.7035409,40.96998631,43.46004214,53.70594516,53.47000482,90.25947124,106.4892782,94.21973556,no data,67.75900605,68.3700938,75.88128511,62.18178477,56.60005653,51.52063823,51.72841931,43.84327309,18.35376689,13.80440374,11.15302266,11.25564944,13.98914401,15.04699693,14.87413043,17.47150548,20.70718796,25.82596705,26.1798217,29.70895743,33.19772454,36.27655573,39.39405027,41.02428183
Canada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.03055208,55.90810704,59.06232427,62.49891237,63.08467976,64.18657057,64.51582515,61.48208343,58.70949702,52.91702673,46.19043443,46.00919319,42.91677767,40.47724362,36.5703873,36.144669,33.69982975,29.82624277,34.81301911,42.65814906,43.27198256,44.22616333,45.34990951,41.57803902,39.85106005,42.45843007,41.63931998,39.25529783,36.15529985,35.72323556,59.44555014,55.54834908
Central African Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.26771459,20.38272083,20.53368918,24.71875824,26.61518767,25.13617402,25.38360952,26.49299932,24.29567716,20.35866437,30.8964796,35.06107303,36.41551999,40.36487764,42.05494722,38.92642885,40.96400998,48.81113954,48.75617309,50.88776097,44.56627451,55.77612786,57.41696918,68.22038858,103.4440857,83.82878106,92.98668472,88.46282794,85.32139873,84.16182509,94.67912374,103.1149494,98.51825602,95.88629038,99.72351847,102.9624065,46.74996424,47.85079642,35.76599444,20.3003043,19.8833811,19.68629066,31.53279477,51.78958752,62.23995092,59.7904141,53.8873002,50.27473273,50.04578299,47.14688273,43.42194561,47.61300678
Chad,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.10016298,15.74306666,11.31883894,12.25105846,16.39084028,21.49462004,24.46378349,29.90072996,32.60935709,41.70532866,40.81999608,30.89394532,27.01929478,26.49970509,22.4522587,20.70014707,20.63589145,24.0386752,23.75446111,25.49670481,27.78892237,33.75077581,38.43121159,48.4511697,57.11319591,53.3485832,52.55576937,53.59781656,45.01134584,57.96643347,67.98491844,56.4488631,54.432,44.656,32.635,28.4839741,26.16542692,22.06953314,20.09864525,31.52545587,30.05070329,30.56580856,28.76468164,30.63087879,38.23777294,42.52741175,50.04681113,48.69468715,48.40730791,52.32683113,54.21777324,55.95598472
Chile,9.190538716,8.037760646,8.542986269,6.914367403,5.539095268,5.037199069,7.209131943,9.233551529,8.962217022,9.538677742,6.969574211,7.911265586,6.939288561,9.166661734,9.538376463,12.50904025,12.5202074,14.78412977,17.72941576,21.32671792,26.14661256,19.88467408,9.995161094,10.99844284,18.6947027,28.17014917,19.40853479,16.43664406,25.78754217,23.07381943,17.26829435,13.9242679,20.1766602,45.18870364,56.24042287,79.23546803,87.79200111,81.04385225,70.67527191,51.54639376,49.91602383,43.95794454,35.87291003,32.34878312,28.8604718,22.15458279,16.8126493,14.34002669,14.60158017,15.98615568,15.50377435,14.35203208,15.0482291,12.57337582,10.31322736,7.037910875,5.020111209,3.901889817,4.919766127,5.852889487,8.615527045,11.13315246,11.94097942,12.78172771,15.01955314,17.37514443,21.1086608,23.66665601,25.82276052,28.29828094,32.60011093,36.29146618
Colombia,5.646321743,5.08060473,5.067169904,4.698743651,4.845650111,4.032177011,4.427962012,4.888649024,5.87053697,5.094957067,4.87469443,6.271268608,11.86856128,12.03126912,11.36773921,12.45646815,13.88960069,12.61414952,13.43031443,13.9569826,14.44436406,14.684867,15.13315042,14.07872767,13.67127014,12.40352405,10.93569483,8.425970571,6.747980839,7.243804972,7.33547658,7.749635104,8.188013832,9.601002294,13.25887918,16.51178206,19.47374764,18.58256096,17.96789617,17.10159124,16.63135345,14.83144405,16.46139808,14.32302372,12.351163,8.799794049,9.260038739,11.7432918,13.68975852,20.31782357,26.45852252,31.06077015,37.1226876,36.64837121,34.98028161,32.70549368,31.02610649,27.21982085,27.19522008,28.8807833,29.51872533,29.08904477,27.32833077,29.56931226,32.88499823,37.29926222,37.37577481,38.29219177,41.36218283,40.67864176,51.91275128,51.22757652
Comoros,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,151.3099358,143.7518574,137.3913998,129.3976088,120.282085,113.9356198,108.3680785,104.0753934,101.1768687,95.9175999,87.96202505,77.86442325,75.52521867,71.05432488,69.53640831,64.6235982,60.81816916,53.04625719,48.23870378,44.49779112,42.44646033,39.86459967,38.47897693,35.61557117,33.21703212,31.72957409,30.4586217,27.66820289,25.07315982,10.27714616,11.85847639,14.27471078,15.48481574,18.80540052,16.89524523,21.73686972,24.01638852,25.9986399
