Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Iran,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.13544679,14.15685062,12.72932008,12.84028915,6.675158741,8.806363357,6.924528087,9.233963958,no data,no data,35.4780452,47.56493233,47.70749781,35.72468393,10.03476535,8.733482327,47.432839,48.61343458,53.17748915,48.82317501,37.01371411,29.31980388,25.24542843,25.63333766,41.66233714,31.16176238,35.80978672,37.68347078,36.1592381,27.11803826,22.15248334,25.60659023,28.5307754,26.78840686,25.714118,22.17656818,18.236322,16.06229016,12.3735073,13.27793732,14.75730279,12.25919426,13.56228636,11.75762557,12.58742031,37.02293203,47.90390551,45.0443064,40.55498046,42.70208794,44.08279341,42.40390987
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,344.3174174,227.3442738,143.1648447,117.0848288,74.16751105,87.3750997,53.53287968,40.71936586,34.78179943,31.98699439,32.86248315,56.9344622,66.97335838,59.06127705,48.55235133,45.19302552,84.2328374,59.07886231
Ireland,37.684514,45.606385,47.428854,49.22275,55.983465,63.819841,67.314432,70.149143,72.794208,70.336719,73.639106,73.660398,73.513107,74.475079,70.889501,73.418375,78.05461,76.972967,66.104769,63.585661,62.237476,59.672955,55.882557,52.061761,58.90427435,65.65380286,70.15871014,67.49382677,69.77136368,74.54622544,75.84488065,80.70384979,77.86236692,87.12910828,91.95117263,93.1054783,102.0959434,104.7390805,101.8446428,92.61847637,86.30101634,83.91699304,81.78794662,81.74070331,no data,77.37527919,69.48180603,61.25566184,51.10756386,48.26135537,38.22099587,35.12802794,32.59659079,31.38665502,29.63331265,28.83156319,26.1062497,26.45706722,45.15804629,64.76458793,89.82550598,114.3193543,123.3497349,123.7057945,108.4391614,79.92950179,77.39507527,70.76521666,70.98628776,64.80040646,65.39657395,61.87098106
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,244.5664776,266.1393502,186.5078932,152.4341286,134.4069887,136.4755574,138.0142348,128.958868,115.0500988,111.197358,109.7015972,101.9534607,90.63731174,89.18977967,87.8697929,89.67465757,84.38943314,75.19408356,79.032278,85.09546658,87.47357647,86.26958408,83.51702625,75.86802904,69.21260936,68.89600829,71.49952611,67.94256977,66.13968339,65.84524903,64.74357722,63.67530757,61.6378587,59.81093956,57.93933239,58.29560548,57.37967691,69.15757101,66.16120087
Italy,30.52449302,31.12813642,33.43254644,34.35420802,36.10895568,36.25976755,34.39115807,34.03384257,33.55791033,35.11404867,31.06311229,29.97400777,29.10404295,26.99703414,27.07972794,28.31534994,29.4516391,28.99647384,30.22549785,30.52610067,31.03949247,34.39344629,37.93906387,40.46277019,40.76842723,47.824719,47.74710223,49.53550202,54.59186568,53.84807586,51.10085027,53.90117595,58.21421104,64.18825515,68.97927132,75.63439599,80.30248542,84.55525844,86.81697534,89.42750441,93.28605881,95.88021429,102.4984062,112.2427648,119.2484696,117.702053,117.6210951,115.0519518,112.2714002,110.6553552,105.9466312,105.6011404,103.1520471,101.2179096,100.6512619,101.531029,100.7682553,97.81702212,100.4162303,109.7992273,112.4751021,113.1908603,120.0311138,126.3387754,129.8114606,130.0346995,129.8955293,129.5608413,130.078046,129.9417689,150.8488256,146.5462661
Jamaica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.04845529,16.17630854,17.33417801,19.07430757,20.46572779,22.7696968,22.04385622,21.35435524,22.89426175,23.85559361,24.32979814,27.55867981,34.27154029,52.8247194,53.88505117,65.01631868,no data,124.0405063,143.6312334,144.1363412,211.754777,237.7712475,232.1685684,200.5742797,205.7852772,179.357834,168.1525612,128.786246,175.0776533,100.3814643,106.191767,90.41446096,85.21277277,70.231642,74.40514731,75.60393496,86.75498729,93.68712363,110.6521179,122.2392382,128.7845679,123.2539473,127.7151223,121.0697002,118.2489402,128.8941053,145.2145117,143.7430446,141.7273897,146.6828988,141.6674385,140.287888,124.026696,115.4346201,103.0118658,95.59796119,94.73549809,108.0336964,94.97844036
Japan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.58829719,7.447423866,8.388414003,11.47287956,10.60816487,10.95510066,14.0184157,18.05555908,22.18067685,28.95700131,32.5020832,33.79194519,38.13451899,42.26488765,47.34972387,49.07417869,51.81289322,57.22344671,58.20907541,54.52240419,48.69191444,46.11060949,44.92920299,47.52795233,51.34635579,56.77266776,62.20659082,65.87722803,69.47658272,77.22396739,88.12113474,94.17770462,100.9886131,110.0010925,117.5005143,127.211368,134.5236711,135.4348392,135.4498837,143.280807,158.0748028,165.7535469,177.9138521,185.02524,189.1439483,192.8515986,189.8620027,194.5947808,193.9311266,195.7316935,199.7897031,221.4269321,221.3235177
Jordan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.30566494,23.57303432,30.58375266,34.36957725,39.72158567,40.33932654,40.78891231,37.66924525,42.89197079,45.54381287,45.07641467,49.81283492,52.11795992,59.76822325,67.03087297,70.60671962,83.16162493,82.27096288,99.43451932,126.1473621,190.7203573,222.0286963,202.7260467,151.3124447,138.3803977,127.6059038,116.1385918,115.0179438,107.7597181,110.8540215,109.1405071,99.26120037,94.54265253,95.75292525,89.30553365,81.54770238,73.8137748,67.44940504,65.38803152,54.24030992,57.96455731,59.43722464,62.06880538,70.52093333,75.58365373,75.01317931,78.42316948,77.43171195,76.02215106,75.0610171,78.0152114,87.97794311,91.89904351
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.61856225,17.65685614,15.35627655,13.21757683,9.989114381,7.05524867,5.937419532,5.322001371,6.326761736,9.51364827,10.18534053,9.707503262,11.69335735,12.2174653,14.14728564,21.19575493,18.89942443,18.74502886,18.88426054,18.48304602,23.57853038,22.31044463
Kenya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.67585633,9.082188733,10.03945126,9.628070424,10.17756637,9.52181601,10.26802565,10.45819392,9.945765489,10.59172323,13.4277048,13.12618963,13.38454582,15.02988326,16.53125058,16.78744377,19.06689513,19.4976744,23.03014851,26.9082293,26.11779511,25.58163974,28.83003166,31.28562614,36.31469646,33.86892077,33.43542411,37.56792179,43.0366506,41.16066117,61.64387014,57.01129815,52.08428127,40.5348636,35.98098211,35.89176582,38.40807131,43.12113511,41.27552501,42.00961974,43.7916423,40.75399468,37.41117976,37.06522044,34.19451627,34.25391871,35.9605988,36.69466952,35.68727746,37.61624268,39.75567297,41.28103091,45.83172211,50.39855127,53.86556917,56.44892839,59.08464575,67.95262517,67.83437498
Kiribati,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.106712944,4.270463983,6.558132273,7.341486952,9.353556321,13.69322705,15.03827886,15.03376964,13.42022987,12.78516612,11.19262836,13.23929113,11.85099387,15.39567544,11.77615209,11.24767138,11.9835174,10.53447969,11.34045067,9.925296301,12.89298369,9.345188176,8.51074969,8.063383675,7.460382555,8.325126485,8.788464948,19.99570932,21.91919286,21.31889231,19.75941069,20.09007772,19.02047583,17.56215037
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,16.75463542,no data,13.58687451,13.2702109,12.94389878,9.143811551,6.515972868,6.09736094,4.409202831,3.708050124,2.73541594,no data,10.69349567,14.67947704,18.56600511,18.15423165,18.93967109,21.82003206,20.71448787,20.40338347,18.70179372,16.00882283,18.87865858,19.16563385,20.94235755,19.73315359,17.33618098,16.6303219,14.93201516,15.70495038,13.0262782,12.7223196,12.23855845,11.41577632,11.16020101,10.42139873,9.243626867,8.152613557,7.502807879,9.308806724,13.29770144,15.16850874,15.49052897,15.99668921,16.13270513,18.96424869,21.58647254,24.94130751,27.16781946,26.5312067,25.80971371,28.71370404,28.2622739,29.00059124,29.5185518,30.91644883,32.18316379,33.56412261,34.00200692,34.17773139,34.33792937,36.32115823,42.21100328,45.33084129
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.897019721,6.4522451,5.568822845,8.558981094,9.424802319,11.1900246,13.42379811,14.47186656,16.37866751,17.13662595,17.66928375,22.4867092,22.41414171
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.077253394,21.35767612,24.57054055,no data,151.137532,117.7017323,88.90641015,88.45785844,77.97715464,58.97644118,52.16005328,55.13867007,46.55429765,34.91531093,35.12027748,29.95055699,22.9977205,17.30177488,11.80489335,8.257011486,7.047160111,5.376099829,6.653287951,6.16098987,4.641097115,3.602054094,3.091985996,3.429189092,4.653453743,10.01792426,20.48497356,15.10265071,11.63573691,11.70595632,8.681106636
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42.40065895,52.42566293,57.65178787,64.80258312,85.12334899,119.5696261,123.3026537,108.2074942,107.9414737,108.2302789,92.66645627,85.66070891,73.35468993,57.743779,49.011562,58.49440133,59.69858981,50.05575903,50.47787935,47.12475568,53.59678577,67.0873453,59.07281848,58.78610661,54.81799104,51.60290605,67.64761225,61.11647754
Lao P.D.R.,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.24921143,14.96182201,32.53739699,52.60222727,33.38913598,64.12622712,70.78034807,40.80056059,33.01683029,31.46996446,63.54815942,121.1190566,213.4863339,192.6127607,193.2826688,172.5604215,154.0444627,140.9854096,128.4903021,113.0278214,58.78633162,82.70799574,194.092279,87.58337887,59.26813253,94.72490576,95.30835966,90.14835214,80.65340872,73.20259734,60.00702127,55.92979022,51.72348147,51.82251727,49.31502899,43.00450427,46.10324228,49.49335341,53.53410605,53.05220946,54.47430854,57.1982365,59.65047689,62.02142402,82.74810149,93.53952097
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.49145845,12.98517974,9.863131344,8.481173146,11.63948178,11.92910327,13.68193159,12.89165626,12.67384226,12.57380723,10.07672913,8.281744596,6.466784421,15.34616468,31.31809899,38.98025678,37.55374716,35.87520256,35.57471292,38.14610521,34.233501,38.2412725,35.94284843,34.97588105,35.27267612,42.29491759,46.42692204
Lebanon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.841555407,4.958755129,3.980665574,5.215761803,5.064794378,no data,22.36164817,17.7035305,22.78538488,26.27607722,33.9843545,44.4424222,126.9767369,133.8251293,109.272137,86.03875638,82.08456534,35.98520122,41.54083417,no data,99.69524672,67.12716266,51.67764545,50.49997009,71.51046673,79.58311123,101.1532335,100.2411695,108.197121,130.2108461,148.0758393,163.0822424,163.1169171,171.3084839,169.54668,178.9258494,183.2914333,169.300635,161.4871176,144.4992036,136.8292094,134.3861106,131.0511642,135.4029885,138.3992607,140.8407291,146.4107386,149.986865,155.0758784,172.2654496,150.5830721,no data
Lesotho,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.852243332,5.979677613,5.941667401,4.984719475,4.544142079,5.976289505,7.837741192,16.03142355,14.8420808,22.15234211,28.60565498,38.38081403,60.26739689,56.07075278,56.80566377,85.70784923,91.9024062,96.94709211,105.5391334,113.5710445,103.7653786,114.1375921,78.81886282,76.70425295,72.16117306,67.68037042,77.16562222,70.73889202,85.54357827,89.37087118,95.30761262,118.7641583,87.9336537,59.00397178,52.4768423,56.76051767,58.94809401,54.78270791,47.65520139,36.48823961,34.09487587,36.44284133,39.84762332,41.19281815,41.50443947,45.73929821,40.59393864,40.03779937,49.03988707,50.45789425,54.19034918,53.51786504
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.5420139,26.99990624,24.24926858,27.52494902,30.98227779,40.02326424,47.26545346,180.093922,157.9761231,162.9280811,173.7084932,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,488.5021831,484.2531584,480.916574,658.2151329,543.1420216,534.895711,471.5260523,393.7779197,233.1015681,130.9359641,25.56194544,22.70562345,20.50461203,20.61218033,24.33240985,24.77126067,28.57205047,31.7991115,37.10320334,48.53169815,58.6570278,53.17454452
Libya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.9915821,7.0315468,14.590283,11.939629,9.3948753,21.401699,19.059828,10.137755,17.344188,21.653938,15.78552,25.378702,25.638743,29.552117,29.749614,31.00606,64.858756,65.183058,63.765739,61.055027,62.555342,59.342449,57.590506,50.712478,48.746576,52.229965,40.199405,41.961023,41.664335,33.908786,26.244386,2.7896786,1.9395531,1.6637526,4.0953481,1.194316,2.3193922,1.7427162,11.785985,2.3731135,4.1567163,80.357941,189.2736399,192.7530625,142.7091085,no data,no data,no data,no data
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.44476882,13.73362715,14.90820992,15.89598261,21.63312511,22.1954252,21.77541088,21.21403731,19.29501078,17.76538582,16.85224023,16.41521122,14.99346806,13.40814452,26.4351919,33.63071139,33.97813342,36.69538045,35.78922134,37.61922075,39.7255909,37.41717001,37.8744119,32.62257551,34.95504493,45.63284862,43.38688156
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.54446408,12.66640782,11.39058717,9.880331107,7.888067101,6.668164938,6.201930031,6.08092326,5.585499429,4.826653118,4.412554665,4.656373682,5.200162854,5.599403688,5.830994537,5.525824441,5.804135017,4.863242485,3.583725762,2.656536655,1.830763108,1.290154656,1.534110244,1.936086127,1.91921282,2.628008552,3.434741316,3.747783542,4.078618432,3.52906062,3.034020708,2.920028978,2.568469873,1.660489873,1.390948371,0.820974139,1.446671544,1.413322423,8.078061265,8.276420141,12.33883691,11.8041486,13.39460347,14.83261873,14.44644178,13.81911404,12.81221034,15.83116722,15.71480165,16.93429935,19.62233655,20.37223704
Madagascar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.82813984,27.96810971,26.67513643,22.78805202,31.03509424,27.50483445,11.00242869,31.22609615,20.10461341,28.60555982,37.69905333,51.47643351,56.0551679,57.54890163,70.94530143,82.74124427,84.90591819,127.5447961,126.5743793,121.9802196,104.3987589,126.686918,109.7543188,105.1920118,95.96309596,95.83683997,98.71624599,89.73956531,108.4595098,104.1146878,90.21159691,82.14374161,86.69275891,85.8619092,81.89563813,74.36637969,32.22628482,28.21023076,31.0101038,34.8565742,32.34135342,29.94680517,30.43514561,36.24292359,37.84849393,44.06229875,40.28076563,40.13599261,42.89278441,40.61638132,50.82318487,53.1279503
Malawi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.50414853,15.79054622,17.70566079,20.96735725,19.77448233,19.39036447,20.69726382,22.22390837,25.40258707,24.85358752,25.31179503,29.2222842,32.5183433,33.38162414,32.99299105,36.80272499,42.82644535,51.55492937,43.53980813,40.10257346,38.03958926,32.62457114,43.01949546,41.20214209,72.48075909,65.70805492,40.93404425,34.78722265,58.58538325,62.13496274,61.46687739,no data,101.5052275,84.74145101,74.66079692,70.93343949,17.90958377,18.9477625,23.5235244,23.48688752,19.31236922,19.98340121,28.60621145,35.34712104,33.51496016,35.45512403,37.08028642,40.2560376,43.90821178,45.30183216,54.79019852,63.93013445
Malaysia,3.942937325,3.072916667,3.866141732,5.702133795,7.814396415,12.17948718,12.18379447,14.94342567,no data,no data,19.50516413,24.92092374,22.77595219,23.51669528,24.21796471,27.43641948,28.02154592,29.79940806,32.00735633,35.37224114,35.6890145,39.8766491,42.36832755,38.0442311,33.89890896,39.86719804,41.93871935,43.19167659,42.6211657,41.05379315,40.24360774,49.45114692,61.23442302,67.99681397,66.6411575,75.4704008,94.60928302,94.74171036,89.82031034,79.66984129,74.12946366,67.31966188,59.10902311,51.1338733,43.72281358,37.70888275,32.45219795,29.29810957,33.42766378,34.22697911,32.36369304,37.94826024,39.52461503,41.38760774,41.95684493,40.16179301,38.7497694,38.2720593,37.99690727,48.53322669,48.86573509,49.32811671,50.92303905,52.25685785,51.93806955,53.57448467,51.89059567,50.04967161,51.18588126,52.42137105,62.02820874,63.40311588
Maldives,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.3536394,45.03073438,38.932658,38.14914438,69.78228268,82.03814302,78.86319406,79.18122018,67.40326277,62.87706804,62.88888213,63.39365485,47.99785101,43.02903567,42.39302126,46.72182863,49.04467434,55.6967979,54.61416528,52.22915539,46.93407004,38.11212549,39.26122999,38.94848988,39.01684968,41.84465343,44.27927922,37.6057979,34.67423341,43.19594127,36.77954237,35.82367008,38.95785465,48.38693428,52.7476567,51.86343027,57.12319696,55.94865346,55.06499779,54.92113976,62.27189879,64.56287877,72.00895284,78.81129389,154.3915527,124.8197625
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.80380353,61.95850296,58.02190502,43.50469902,48.37674683,44.65594749,46.72611127,48.32935199,49.62284276,40.53631392,45.85361039,57.42495759,70.90815409,80.81299249,84.68129801,98.79767534,86.64714442,89.01291506,89.91936539,77.46882777,76.82973322,78.98728395,86.9268243,87.53563697,105.0430469,87.20239378,86.69089632,90.7401638,91.23994467,87.68472073,90.52188535,77.49775221,42.64296465,44.14965239,42.43442107,46.62639282,18.06579991,18.53452697,20.16630771,21.91593146,25.28872977,23.96476347,25.38986718,26.38185914,26.90665665,30.66111794,36.01838474,35.98460342,37.52404983,40.72482543,47.33459796,51.94657584
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.19302962,18.97666259,22.34547962,23.29164513,25.27566621,33.80165767,36.15662895,32.25610729,30.12957248,27.20829936,25.05211954,21.57135866,18.27159492,17.1900031,no data,14.04161985,12.77024847,12.65088529,14.45210066,14.94458333,14.41861478,11.89110667,14.91907118,17.50071865,17.13751936,22.85393181,25.12357063,26.60536913,30.79677497,31.32885294,33.59535952,39.51914341,49.31286558,53.2028606,54.59970656,51.87600931,55.0402518,55.55508495,61.2862015,64.39693025,63.38018498,58.8236211,56.96035677,56.80226038,62.0948225,61.17998323,64.76223252,63.12972561,62.68550224,58.61661953,53.36473837,51.93846727,44.98654154,41.05753907,37.92874149,51.74629723,55.15468798
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.229406538,9.798525355,12.50582676,19.2268919,23.28312975,24.66935889,43.76849751,52.39100036,64.89028131,58.21306699,60.65194321,65.58372289,80.35914723,85.79917155,95.96430155,112.7701926,116.0674166,118.1147346,110.9374507,107.5675853,107.9436995,96.39629756,85.09812119,104.8232532,104.1675248,101.6876903,101.7390588,100.2428232,101.0926973,no data,124.1191623,125.2367959,110.962481,98.77342613,96.46747929,83.89517967,46.67086722,41.30767896,40.91935823,48.45965064,43.9473835,38.83879455,39.31748378,40.02295226,48.4714147,58.74678654,56.55471847,54.76163373,57.90284832,55.66956353,55.81993955,51.66299489
Mexico,5.895690413,4.358620421,4.395094356,4.265297206,4.913303524,4.795509135,4.52351326,4.274740783,4.103914787,4.059330076,4.626775873,4.50120073,4.196947166,4.133405716,6.221033659,9.985416237,9.506520962,13.04299678,no data,no data,12.51734235,11.46742603,12.45883163,13.52813298,13.8535894,15.78706142,22.3509963,22.54729864,20.35116509,19.51918338,15.76112588,no data,31.51716882,26.8007206,26.71254972,32.25180747,50.65122728,55.80113323,38.6517855,38.16573763,37.78996138,30.94616335,22.7934905,20.37513475,28.15643173,32.45838365,25.16600445,20.64913099,22.24362447,20.4850466,19.06949355,18.47991139,20.17697205,21.19257124,20.11745451,19.56871391,20.0273116,20.47424724,24.01139238,27.45133033,26.89541585,27.6568423,28.15182338,30.76115917,32.61818285,34.97221928,37.00105489,35.20619109,35.34996572,36.12847554,41.43451017,40.66751951
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.76690516,40.14796113,48.13649305,82.93355618,77.86738239,71.59015889,60.81684133,59.55598936,52.874223,40.051348,33.256196,30.279629,23.19520776,18.44264949,24.19766287,21.87275287,19.46537637,20.0840575,19.67788442,20.58009045,22.99033492,31.58036188,29.35125017,27.51074075,25.4510312,33.95558025,32.14641867
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.34913253,57.78866355,57.64606614,40.23814309,49.66293431,61.03234466,77.45738265,103.7305691,79.26487059,69.21192892,71.99612045,89.99530229,75.00547466,55.89439516,41.87064504,36.51969874,38.559303,44.73705732,26.42311227,29.28459489,45.69321364,51.31854893,43.9626412,48.50799839,74.59924,72.542607,62.70306073,59.84507676,72.91365364,59.74158673
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,84.47807297,42.28780607,40.22678396,38.56823946,32.31428046,27.41409111,28.8303024,38.08428243,40.66122896,45.43949502,53.41984242,57.48731368,56.18692382,62.29668968,60.77013574,61.1261776,67.61509973,74.91177541,103.4709153,82.54135726
Morocco,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.48632219,29.23676012,30.02205882,29.31417374,27.0483602,28.34500675,28.77647215,27.72557593,26.42211893,24.58676008,33.40610233,36.19324312,47.49261373,52.52529117,52.06588741,52.81956453,66.65591352,70.72177565,83.55916308,93.26846473,104.000535,94.33380739,100.6722071,88.9943541,91.95085415,88.51747015,76.22116373,75.22493787,79.04252636,74.68064656,72.22020136,65.33454886,67.95564133,64.5197392,63.36297011,64.85967067,60.43503403,59.37192856,56.9291019,54.43135305,54.76739704,50.64217736,47.06596076,41.99059062,42.6220114,45.27549883,48.55482689,52.28203978,57.07609178,58.56392805,58.39429599,60.07555319,60.25789998,60.46440999,60.27047126,72.24820139,68.94032959
Mozambique,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,99.56772191,100.4638191,104.415207,66.40563279,65.96337061,52.80316436,62.3800304,41.48084765,32.25658325,33.70547693,40.48200534,39.61780207,34.71973927,37.43563599,50.13469665,64.34068482,87.42596037,126.188354,104.149971,106.7476926,99.04551217,119.9613313,106.3686291
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.59208616,25.52582567,29.43627842,32.69878068,34.35024368,34.79836338,32.67435625,33.91276334,33.44456611,32.49194416,28.94899857,no data,no data,no data,no data,no data,no data,no data,no data,122.6490221,124.4157241,117.0433609,107.0929909,101.1217863,111.6777764,no data,no data,no data,201.3047013,145.41615,158.698894,252.7842881,183.9399659,140.8961284,122.1403676,114.7824043,99.47698634,74.64607826,57.71033353,54.43694106,52.47806118,47.88047554,36.51400152,36.0556122,35.22221869,36.37404365,38.33438936,38.47007238,40.41543518,38.75277603,39.27569861,62.34852149
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.28567359,12.93585139,11.84055516,14.10888998,17.1649302,16.41163025,17.99078583,18.72481783,17.71681789,19.57420019,21.79696588,20.85884782,24.39321825,22.1873578,27.14572501,29.17918969,26.89743411,26.13557549,19.36414341,19.09699494,15.85073437,16.32815921,27.44961481,24.62784323,26.11341137,27.57162002,42.09002084,45.83294349,43.82930783,50.4013065,59.36572228,66.6092868,71.95659782
Nepal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.559210863,1.302808699,1.734228619,2.486511603,2.829508073,3.718434,6.506758743,9.010008255,8.786060729,9.375361658,11.71171775,12.67944002,17.98288486,22.64033444,25.22022244,28.90308126,31.35279239,36.32965147,35.90518226,40.7747028,45.99472522,45.89916131,50.20286943,50.99146589,52.90129217,52.13061621,50.29015473,47.19149559,51.37706362,55.79430197,50.79450384,50.77316736,51.82221231,52.98158291,51.33043031,45.13873101,42.87449551,37.89020209,36.76223742,39.46775929,35.39569064,32.42897757,34.51481556,31.89880382,27.55102057,25.73044637,24.95734391,24.98910752,30.08080847,33.13410626,42.44090018,45.80904938
